country_origin_id,country_destination_id,import_val
PER,CHE,1617.19
ZAF,SWE,4256.57
ARE,SWE,16072.36
CHN,SWE,50655.41
IND,SWE,4612.49
JOR,SWE,21579.21
LBN,SWE,61302
SYR,SWE,13161
THA,SWE,16976.9
TUR,SWE,704243.28
VNM,SWE,6405.66
AUT,SWE,4606372.34
BGR,SWE,133796.49
BIH,SWE,75469.98
BLX,SWE,41861177.01
CHE,SWE,4541236.48
CZE,SWE,364859.97
DEU,SWE,64969112.57
DNK,SWE,28642944.44
ESP,SWE,11703140.88
EST,SWE,19175.36
FIN,SWE,33296824.22
FRA,SWE,18075785.09
GBR,SWE,8534489.77
GRC,SWE,66639.85
HRV,SWE,175678.71
HUN,SWE,3557650.46
IRL,SWE,4127271.29
ISL,SWE,303964.57
ITA,SWE,8297230.44
LTU,SWE,20489622.48
LVA,SWE,104028.3
MKD,SWE,55498.79
MLT,SWE,12450
NLD,SWE,40505407.36
NOR,SWE,19809817.97
POL,SWE,8973598.03
PRT,SWE,1213
ROU,SWE,68205
RUS,SWE,17786
SRB,SWE,270638.99
SVK,SWE,5550756.4
SVN,SWE,108250.46
CAN,SWE,676072.53
USA,SWE,2390402.47
NZL,SWE,1962
BRA,SWE,17634.47
CHL,SWE,6386.57
COL,SWE,14646.45
ECU,SWE,23781.41
PER,SWE,2208.49
BFA,IRL,7593.85
GAB,IRL,226921.04
KEN,IRL,3091.42
NGA,IRL,1396.83
TUN,IRL,2812
ZAF,IRL,10290.72
ARE,IRL,8462
CHN,IRL,173954.02
CYP,IRL,139461.95
IND,IRL,2523.13
ISR,IRL,19717.78
MYS,IRL,38124.18
SGP,IRL,1362.9
THA,IRL,1559
TUR,IRL,29707.66
AUT,IRL,214071.01
BGR,IRL,118684.69
BLX,IRL,16703571.98
CHE,IRL,1013857.05
CZE,IRL,227677.97
DEU,IRL,37032481.62
DNK,IRL,86799.89
ESP,IRL,1795929.04
EST,IRL,97488
FRA,IRL,14221494.32
GBR,IRL,218952665.3
GRC,IRL,17703
HUN,IRL,701111.53
ITA,IRL,5514083.88
LTU,IRL,316884.57
LVA,IRL,146737.03
MDA,IRL,37177.74
MKD,IRL,39450.43
NLD,IRL,11883670.39
NOR,IRL,74280
POL,IRL,12467834.58
PRT,IRL,5167.75
ROU,IRL,126375.85
SVK,IRL,991314.58
SWE,IRL,962647.32
CAN,IRL,981787.06
PAN,IRL,2135.88
TCA,IRL,23502.61
TTO,IRL,452923.26
USA,IRL,1766149.91
AUS,IRL,20492.51
BRA,IRL,14702.65
COL,IRL,4623.55
ECU,IRL,118167.8
ZAF,DNK,75215.92
ARE,DNK,2327.73
CHN,DNK,24648
THA,DNK,362893.3
TUR,DNK,138178.01
AUT,DNK,1392308.07
BGR,DNK,5793.81
BLX,DNK,67213434.03
CHE,DNK,2712291.52
CZE,DNK,157970.37
DEU,DNK,110321936.8
ESP,DNK,693218.15
EST,DNK,10870
FIN,DNK,2049855.55
FRA,DNK,11071459.35
GBR,DNK,10129067.46
GRC,DNK,80980.68
HUN,DNK,846187.29
IRL,DNK,329686.64
ISL,DNK,688971.05
ITA,DNK,5530207.33
LTU,DNK,58360.86
LVA,DNK,73731.62
MLT,DNK,2339
NLD,DNK,20712427.27
NOR,DNK,8493520.69
POL,DNK,10869498.37
PRT,DNK,18022.93
