country_origin_id,country_destination_id,export_val
POL,MYS,3934321.89
POL,NPL,6066.78
POL,OMN,1882296.09
POL,PAK,226772.19
POL,PHL,49655
POL,PRK,61238
POL,PSE,336495.7
POL,QAT,4800908.97
POL,SAU,21874933.58
POL,SGP,7838227.28
POL,SYR,112186
POL,THA,969793.41
POL,TJK,93845
POL,TKM,233247
POL,TUR,7073137.49
POL,UZB,1090619
POL,VNM,203768.22
POL,XXB,4394526.18
POL,YEM,101660.02
POL,ALB,3366943.28
POL,AUT,13138191.97
POL,BGR,16618762.34
POL,BIH,8988679.93
POL,BLR,2302971.62
POL,BLX,27177637.93
POL,CHE,15154387.18
POL,CZE,90977213.46
POL,DEU,252199073.2
POL,DNK,10869498.37
POL,ESP,8218402.32
POL,EST,3333501.61
POL,FIN,1659445.74
POL,FRA,51504239.29
POL,GBR,306295169.1
POL,GRC,8328697
POL,HRV,14731024.59
POL,HUN,32020753.58
POL,IRL,12467834.58
POL,ISL,362048.67
